l2bn,l2ts,batchTimestamp,delay,batchPosterAddress,batchNumber,batchDataGas,l1BaseFeeWei
160379505,1702653029,1702652507,-522,0xad8663715b08f41a3aec47cc,443699,1585050,94976829498
160379506,1702653029,1702652507,-522,0xad8663715b08f41a3aec47cc,443700,1575506,94976829498
160379507,1702653029,1702652507,-522,0xad8663715b08f41a3aec47cc,443701,1572266,94976829498
160379508,1702653029,1702652531,-498,0xad8663715b08f41a3aec47cc,443702,1589802,98102713858
160379509,1702653029,1702652531,-498,0xad8663715b08f41a3aec47cc,443703,1596784,98102713858
160379511,1702653029,1702652531,-498,0xad8663715b08f41a3aec47cc,443704,1597118,98102713858
160379512,1702653029,1702652531,-498,0xad8663715b08f41a3aec47cc,443705,1592324,98102713858
160379513,1702653029,1702652531,-498,0xad8663715b08f41a3aec47cc,443706,1597984,98102713858
160379514,1702653029,1702652531,-498,0xad8663715b08f41a3aec47cc,443707,1578032,98102713858
160379515,1702653029,1702652543,-486,0xad8663715b08f41a3aec47cc,443708,1587914,104981985994
160379516,1702653029,1702652543,-486,0xad8663715b08f41a3aec47cc,443709,1606458,104981985994
160379517,1702653029,1702652543,-486,0xad8663715b08f41a3aec47cc,443710,1573290,104981985994
160379518,1702653029,1702652543,-486,0xad8663715b08f41a3aec47cc,443711,1594342,104981985994
160379519,1702653029,1702652543,-486,0xad8663715b08f41a3aec47cc,443712,1564762,104981985994
160379520,1702653029,1702652543,-486,0xad8663715b08f41a3aec47cc,443713,1597580,104981985994
160379521,1702653029,1702652567,-462,0xad8663715b08f41a3aec47cc,443714,1611508,106344648312
160379522,1702653029,1702652567,-462,0xad8663715b08f41a3aec47cc,443715,1574820,106344648312
160379523,1702653029,1702652567,-462,0xad8663715b08f41a3aec47cc,443716,1611028,106344648312
160379524,1702653029,1702652567,-462,0xad8663715b08f41a3aec47cc,443717,1575448,106344648312
160379525,1702653029,1702652567,-462,0xad8663715b08f41a3aec47cc,443718,1573454,106344648312
160379526,1702653029,1702652567,-462,0xad8663715b08f41a3aec47cc,443719,1555210,106344648312
160379527,1702653029,1702652591,-438,0xad8663715b08f41a3aec47cc,443720,1584234,108511543184
160379528,1702653029,1702652591,-438,0xad8663715b08f41a3aec47cc,443721,1610530,108511543184
160379529,1702653029,1702652591,-438,0xad8663715b08f41a3aec47cc,443722,1593050,108511543184
160379530,1702653029,1702652591,-438,0xad8663715b08f41a3aec47cc,443723,1581428,108511543184
160379531,1702653029,1702652591,-438,0xad8663715b08f41a3aec47cc,443724,1569978,108511543184
160379532,1702653029,1702652591,-438,0xad8663715b08f41a3aec47cc,443725,1564660,108511543184
160379533,1702653029,1702652627,-402,0xad8663715b08f41a3aec47cc,443726,1605386,102848129599
160379534,1702653029,1702652627,-402,0xad8663715b08f41a3aec47cc,443727,1515012,102848129599
160379535,1702653029,1702652627,-402,0xad8663715b08f41a3aec47cc,443728,1587802,102848129599
160379536,1702653029,1702652627,-402,0xad8663715b08f41a3aec47cc,443729,1580506,102848129599
160379537,1702653029,1702652627,-402,0xad8663715b08f41a3aec47cc,443730,1602898,102848129599
160379538,1702653029,1702652627,-402,0xad8663715b08f41a3aec47cc,443731,1554274,102848129599
160379540,1702653029,1702652651,-378,0xad8663715b08f41a3aec47cc,443732,1603748,103938839754
160379541,1702653029,1702652651,-378,0xad8663715b08f41a3aec47cc,443733,1573126,103938839754
160379542,1702653029,1702652651,-378,0xad8663715b08f41a3aec47cc,443734,1584958,103938839754
160379543,1702653029,1702652651,-378,0xad8663715b08f41a3aec47cc,443735,1594102,103938839754
160379544,1702653029,1702652651,-378,0xad8663715b08f41a3aec47cc,443736,1604336,103938839754
160379545,1702653029,1702652651,-378,0xad8663715b08f41a3aec47cc,443737,1550682,103938839754
160379547,1702653029,1702652675,-354,0xad8663715b08f41a3aec47cc,443738,1581306,100982616105
160379548,1702653029,1702652675,-354,0xad8663715b08f41a3aec47cc,443739,1585798,100982616105
160379549,1702653029,1702652675,-354,0xad8663715b08f41a3aec47cc,443740,1578318,100982616105
160379550,1702653029,1702652675,-354,0xad8663715b08f41a3aec47cc,443741,1606722,100982616105
160379551,1702653029,1702652675,-354,0xad8663715b08f41a3aec47cc,443742,1569558,100982616105
160379552,1702653029,1702652675,-354,0xad8663715b08f41a3aec47cc,443743,1597944,100982616105
160379553,1702653029,1702652699,-330,0xad8663715b08f41a3aec47cc,443744,1591088,101980893328
160379554,1702653029,1702652699,-330,0xad8663715b08f41a3aec47cc,443745,1563098,101980893328
160379555,1702653029,1702652699,-330,0xad8663715b08f41a3aec47cc,443746,1573504,101980893328
160379556,1702653029,1702652699,-330,0xad8663715b08f41a3aec47cc,443747,1549628,101980893328
160379557,1702653029,1702652699,-330,0xad8663715b08f41a3aec47cc,443748,1568522,101980893328
160379558,1702653029,1702652699,-330,0xad8663715b08f41a3aec47cc,443749,1591994,101980893328
160379559,1702653029,1702652723,-306,0xad8663715b08f41a3aec47cc,443750,1561154,100875685993
160379560,1702653029,1702652723,-306,0xad8663715b08f41a3aec47cc,443751,1566842,100875685993
160379561,1702653029,1702652723,-306,0xad8663715b08f41a3aec47cc,443752,1539470,100875685993
160379562,1702653029,1702652723,-306,0xad8663715b08f41a3aec47cc,443753,1597982,100875685993
